,aff_sigma,corruption_level,can_plot,aff_k,algorithm,labeled_percent,aff_dist_func,aff_mask_func,dataset,elapsed_time,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
40,0.2,0.4,False,15.0,LP,0.05,gaussian,knn,spiral,1.6761019229888916,20,0.6293333333333333,0.05168623285427822,"[0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.636, 0.636, 0.636, 0.636, 0.6853333333333333, 0.6853333333333333, 0.6853333333333333, 0.6853333333333333, 0.6853333333333333, 0.6853333333333333, 0.6853333333333333, 0.6853333333333333]",0.57,0.6853333333333333,0.636
41,0.2,0.25,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.3516271114349363,20,0.8478666666666668,0.004814792022738055,"[0.8420000000000001, 0.8420000000000001, 0.8420000000000001, 0.8420000000000001, 0.8420000000000001, 0.8420000000000001, 0.8420000000000001, 0.8420000000000001, 0.8513333333333334, 0.8513333333333334, 0.8513333333333334, 0.8513333333333334, 0.8513333333333334, 0.8513333333333334, 0.8513333333333334, 0.8513333333333334, 0.8526666666666667, 0.8526666666666667, 0.8526666666666667, 0.8526666666666667]",0.8420000000000001,0.8526666666666667,0.8513333333333334
42,0.2,0.35,False,15.0,LP,0.1,gaussian,knn,spiral,1.8861267566680908,20,0.7742666666666667,0.02903362035832101,"[0.754, 0.754, 0.754, 0.754, 0.754, 0.754, 0.754, 0.754, 0.7659999999999999, 0.7659999999999999, 0.7659999999999999, 0.7659999999999999, 0.7659999999999999, 0.7659999999999999, 0.7659999999999999, 0.7659999999999999, 0.8313333333333334, 0.8313333333333334, 0.8313333333333334, 0.8313333333333334]",0.754,0.8313333333333334,0.7659999999999999
43,0.2,0.35,False,15.0,LP,0.1,gaussian,knn,spiral_hard,2.3187625408172607,20,0.7713333333333333,0.02007541337612308,"[0.748, 0.748, 0.748, 0.748, 0.748, 0.748, 0.748, 0.748, 0.7753333333333333, 0.7753333333333333, 0.7753333333333333, 0.7753333333333333, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666, 0.7926666666666666]",0.748,0.7926666666666666,0.7753333333333333
44,0.2,0.35,False,15.0,LP,0.05,gaussian,knn,spiral_hard,1.5426337718963623,20,0.7032,0.05274744859548501,"[0.6386666666666667, 0.6386666666666667, 0.6386666666666667, 0.6386666666666667, 0.6386666666666667, 0.6386666666666667, 0.6386666666666667, 0.6386666666666667, 0.7440000000000001, 0.7440000000000001, 0.7440000000000001, 0.7440000000000001, 0.7440000000000001, 0.7440000000000001, 0.7440000000000001, 0.7440000000000001, 0.7506666666666667, 0.7506666666666667, 0.7506666666666667, 0.7506666666666667]",0.6386666666666667,0.7506666666666667,0.7440000000000001
45,0.2,0.0,False,15.0,LP,0.1,gaussian,knn,spiral_hard,1.8489031791687007,20,0.9888,0.0024000000000000024,"[0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.992, 0.992, 0.992, 0.992]",0.986,0.992,0.99
46,0.2,0.0,False,15.0,LP,0.5,gaussian,knn,spiral,2.2080485820770264,20,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0
47,0.2,0.2,False,15.0,LP,0.1,gaussian,knn,spiral_hard,1.3502359390258791,20,0.9145333333333333,0.020935456367925986,"[0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.89, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9253333333333332, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001]",0.89,0.9420000000000001,0.9253333333333332
48,0.2,0.25,False,15.0,LP,0.1,gaussian,knn,spiral_hard,3.2507402896881104,20,0.8633333333333335,0.0217786847883685,"[0.838, 0.838, 0.838, 0.838, 0.838, 0.838, 0.838, 0.838, 0.8740000000000001, 0.8740000000000001, 0.8740000000000001, 0.8740000000000001, 0.8740000000000001, 0.8740000000000001, 0.8740000000000001, 0.8740000000000001, 0.8926666666666667, 0.8926666666666667, 0.8926666666666667, 0.8926666666666667]",0.838,0.8926666666666667,0.8740000000000001
49,0.2,0.25,False,15.0,LP,0.01,gaussian,knn,spiral_hard,2.083603382110596,20,0.6101333333333333,0.09549534020045165,"[0.4953333333333334, 0.4953333333333334, 0.4953333333333334, 0.4953333333333334, 0.4953333333333334, 0.4953333333333334, 0.4953333333333334, 0.4953333333333334, 0.6533333333333333, 0.6533333333333333, 0.6533333333333333, 0.6533333333333333, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334]",0.4953333333333334,0.7033333333333334,0.6533333333333333
50,0.2,0.0,False,15.0,LP,0.05,gaussian,knn,spiral,0.8930809497833252,20,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0
51,0.2,0.25,False,15.0,LP,0.05,gaussian,knn,spiral_hard,4.52529239654541,20,0.8389333333333333,0.020692886593115887,"[0.8013333333333333, 0.8013333333333333, 0.8013333333333333, 0.8013333333333333, 0.8386666666666667, 0.8386666666666667, 0.8386666666666667, 0.8386666666666667, 0.8386666666666667, 0.8386666666666667, 0.8386666666666667, 0.8386666666666667, 0.858, 0.858, 0.858, 0.858, 0.858, 0.858, 0.858, 0.858]",0.8013333333333333,0.858,0.8386666666666667
52,0.2,0.25,False,15.0,LP,0.5,gaussian,knn,spiral,1.6631572246551514,20,0.8624,0.007584780081774893,"[0.848, 0.848, 0.848, 0.848, 0.8633333333333333, 0.8633333333333333, 0.8633333333333333, 0.8633333333333333, 0.8633333333333333, 0.8633333333333333, 0.8633333333333333, 0.8633333333333333, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667, 0.8686666666666667]",0.848,0.8686666666666667,0.8633333333333333
