,labeled_percent,can_plot,corruption_level,aff_dist_func,aff_sigma,algorithm,dataset,aff_k,aff_mask_func,elapsed_time,experiments,mean_acc,sd_acc
103,0.1,False,0.3,gaussian,0.2,RF,spiral,15.0,knn,0.09624791145324707,20,0.7319666666666665,0.023178030785878066
104,0.05,False,0.3,gaussian,0.2,RF,spiral_hard,15.0,knn,0.09703373908996582,20,0.7051000000000001,0.03342871353924479
105,0.01,False,0.25,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08738160133361816,20,0.9105000000000001,0.03867104860228125
106,0.01,False,0.1,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08834648132324219,20,0.9105000000000001,0.03867104860228125
107,0.01,False,0.25,gaussian,0.2,RF,spiral,15.0,knn,0.07478213310241699,20,0.5767666666666666,0.049906701843428686
108,0.1,False,0.0,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.05678153038024902,20,0.9956999999999999,0.0031953090617341056
109,0.05,False,0.4,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.09649205207824707,20,0.6368999999999999,0.04468545624697145
110,0.5,False,0.3,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08800816535949707,20,0.7567,0.011786008654332469
111,0.05,False,0.25,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0818030834197998,20,0.84465,0.04250208818399397
112,0.01,False,0.2,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08156752586364746,20,0.9017999999999999,0.04313189075382621
113,0.01,False,0.25,gaussian,0.2,RF,spiral_hard,15.0,knn,0.09646725654602052,20,0.5757666666666668,0.04788471108355523
114,0.5,False,0.35,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08319902420043945,20,0.6998,0.012323148948219351
115,0.1,False,0.35,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.06503438949584961,20,0.7114499999999999,0.030158705210933716
116,0.5,False,0.35,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.0845024585723877,20,0.69785,0.012795604714119632
117,0.05,False,0.0,gaussian,0.2,RF,spiral,15.0,knn,0.05855107307434083,20,0.9342333333333335,0.03769425243543993
