,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
124,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussian,1.0,6.579080820083617,0.1,99.0,1.0,20,0.6061000000000001,0.20853558449339046
125,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,gaussian,3.0,0.7188656330108643,0.1,,,20,0.51815,0.05535636819734474
126,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,gaussian,3.0,2.0796022415161133,0.1,,,20,0.58175,0.044339457597043275
127,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,gaussian,1.0,1.4450232982635498,0.1,,,20,0.7218,0.046643970671459783
128,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussian,2.0,6.303710460662843,0.1,99.0,1.0,20,0.5530999999999999,0.1234321270982559
129,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,gaussian,2.0,5.22150468826294,0.1,,,20,0.6157999999999999,0.02219143979105456
130,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussian,2.0,1.6563305854797363,0.1,99.0,2.0,20,0.55745,0.12083065629218438
131,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.0,gaussian,0.4,1.345905303955078,0.1,,,20,0.9891499999999999,0.006076800144813067
132,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,gaussian,3.0,1.1075811386108398,0.1,,,20,0.55765,0.029751092416918062
133,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,gaussian,1.0,0.6168477535247803,0.1,,,20,0.6752,0.03717606757041416
134,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussian,3.0,1.626262664794922,0.1,99.0,2.0,20,0.5536,0.06886973210344295
135,gaussian,15.0,knn,0.2,GTAM,,False,0.3,gaussian,1.0,6.5215110778808585,0.1,99.0,0.0,20,0.7383,0.17572652047997764
136,gaussian,15.0,knn,0.2,RF,,False,0.3,gaussian,0.4,0.4887208938598633,0.1,,,20,0.7952999999999999,0.030101661083734264
137,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,gaussian,3.0,0.6378779411315918,0.1,,,20,0.6223,0.026711607963580176
138,gaussian,15.0,knn,0.2,LGC,0.2,False,0.4,gaussian,3.0,0.6285970211029053,0.1,,,20,0.51675,0.02428759971672788
139,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,gaussian,0.4,2.302680969238281,0.1,,,20,0.9623499999999998,0.01385018050423891
140,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,gaussian,2.0,1.5109817981719968,0.1,,,20,0.5598,0.03536042986164053
141,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussian,0.4,5.52595591545105,0.1,99.0,1.0,20,0.98185,0.0026509432283623063
142,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,gaussian,1.0,2.6937177181243896,0.1,,,20,0.5806,0.028638086528258132
143,gaussian,15.0,knn,0.2,RF,,False,0.1,gaussian,0.4,0.5395147800445557,0.1,,,20,0.95515,0.011433612727392864
144,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,gaussian,0.4,3.448986053466797,0.1,,,20,0.7998,0.02047828117787234
145,gaussian,15.0,knn,0.2,RF,,False,0.25,gaussian,0.4,0.34474825859069824,0.1,,,20,0.8452499999999998,0.029575116229695525
146,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.25,gaussian,3.0,2.0774281024932857,0.1,,,20,0.5428,0.022101131192769297
