,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
183,gaussian,15.0,knn,0.2,GTAM,,False,0.35,spiral,20.664669752120968,0.1,99.0,0.0,20,0.9030333333333334,0.1753914320725059
184,gaussian,15.0,knn,0.2,LGC,0.4,False,0.4,spiral,0.19809675216674805,0.05,,,20,0.6176,0.03340485659966892
185,gaussian,15.0,knn,0.2,LGC,0.2,False,0.4,spiral_hard,4.331400632858276,0.5,,,20,0.6608666666666665,0.010968844768504826
186,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,46.61251258850098,0.01,99.0,0.5,20,0.9618666666666666,0.10186627399575278
187,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral_hard,34.34069561958313,0.5,99.0,0.25,20,0.9640000000000001,0.0022705848487901844
188,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,spiral,8.475573539733888,0.05,,,20,0.9098666666666666,0.07393258190180205
189,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,46.400572776794434,0.1,99.0,0.75,20,0.9973666666666666,0.0018912077270005591
190,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,42.28488779067993,0.1,99.0,0.1,20,0.9700333333333333,0.03934941761534301
191,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,spiral,8.611141920089723,0.1,,,20,0.8869666666666666,0.018675563356072178
192,gaussian,15.0,knn,0.2,LGC,0.99,False,0.15,spiral_hard,4.1155004501342765,0.01,,,20,0.7217666666666666,0.06235820359467994
193,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,spiral,4.282078266143799,0.1,,,20,0.7824333333333333,0.02494373668879625
194,gaussian,15.0,knn,0.2,LGC,0.4,False,0.35,spiral_hard,2.345952272415161,0.5,,,20,0.7431333333333334,0.011724807508488613
195,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral,44.19231176376343,0.1,99.0,0.5,20,0.8220333333333334,0.2927158254082694
196,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,32.930763483047485,0.5,99.0,0.1,20,0.9103666666666665,0.0019717448561560507
197,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,spiral,9.582109689712523,0.1,,,20,0.9951666666666666,0.013620042421209816
198,gaussian,15.0,knn,0.2,LGC,0.99,False,0.35,spiral,7.246594429016112,0.1,,,20,0.9214333333333332,0.04606675108530617
199,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.25,spiral,11.227029085159302,0.5,,,20,0.8468666666666668,0.005283517346953204
200,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral_hard,11.836077690124512,0.5,,,20,0.7922666666666667,0.009513499180988384
201,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,spiral_hard,9.78728413581848,0.5,,,20,0.9392333333333335,0.002702056829733842
202,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,50.82604694366455,0.1,99.0,0.5,20,0.9001000000000003,0.19042225301798227
203,gaussian,15.0,knn,0.2,GTAM,,False,0.2,spiral_hard,38.982773065567024,0.1,99.0,0.0,20,0.9666,0.00280396544597507
204,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,37.010260105133064,0.5,99.0,0.75,20,0.9103666666666668,0.0406920549165723
205,gaussian,15.0,knn,0.2,LGC,0.99,False,0.0,spiral,8.630906581878662,0.1,,,20,1.0,0.0
206,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,47.50928664207458,0.01,99.0,0.75,20,1.0,0.0
207,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,spiral,8.915930509567259,0.05,,,20,0.9974666666666666,0.007889796504909901
208,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral_hard,19.272958517074585,0.1,99.0,0.0,20,0.9882000000000002,0.001266666666666672
209,gaussian,15.0,knn,0.2,LGC,0.99,False,0.1,spiral,11.309613704681395,0.5,,,20,1.0,0.0
210,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,spiral,9.102567911148073,0.01,,,20,0.6938333333333333,0.08853621355756701
211,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,33.604641675949104,0.5,99.0,0.75,20,0.9662666666666666,0.00538062367306161
212,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral,9.787207841873167,0.1,,,20,0.9771333333333333,0.011705838998835835
213,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral_hard,9.161249160766602,0.5,,,20,0.9896666666666667,0.0017448336437736395
214,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral_hard,21.801310539245605,0.01,99.0,0.25,20,0.6672,0.33071549370686854
215,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,spiral,8.915700674057009,0.1,,,20,1.0,0.0
216,gaussian,15.0,knn,0.2,LGC,0.4,False,0.3,spiral,10.019664049148561,0.01,,,20,0.7421666666666666,0.05238442304519329
217,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral,33.348440885543816,0.5,99.0,0.1,20,0.8934000000000001,0.005432003927342695
218,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,21.18930387496948,0.05,99.0,0.25,20,0.9444666666666668,0.17507383839080268
